상호명,시군구명,위도,경도,cluster_kmeans5,stability
방화DT,강서구,37.57445683,126.8164881,2,0.416
마곡나루역,강서구,37.56813,126.82614,2,0.871
마곡GMG,강서구,37.560487,126.829667,1,0.854
가양역,강서구,37.56164,126.853327,2,0.88
화곡DT,강서구,37.53501075,126.863188,4,0.891
화곡동,강서구,37.54061902,126.837388,2,0.788
염창역,강서구,37.547359,126.874436,2,0.887
발산역,강서구,37.56033524,126.8391391,1,0.846
까치산역,강서구,37.53232351,126.8461233,2,0.879
마곡코엑스,강서구,37.56530318,126.8257043,2,0.788
염창대로,강서구,37.54854791,126.8782593,2,0.871
발산역5번출구,강서구,37.55792247,126.8405403,1,0.83
양천향교역,강서구,37.56785182,126.8408208,2,0.876
화곡역8번출구,강서구,37.54227921,126.8393,2,0.817
강서우장산,강서구,37.54661115,126.8361133,2,0.874
등촌대로,강서구,37.55049218,126.8665096,2,0.878
마곡보타닉게이트,강서구,37.56910032,126.8363328,2,0.342
가양역사거리,강서구,37.56007,126.855372,2,0.881
원그로브,강서구,37.56124715,126.8246555,2,0.756
내발산,강서구,37.55467,126.83672,2,0.881
마곡웰튼,강서구,37.56714289,126.8253152,2,0.796
김포공항국내선,강서구,37.55912618,126.8023925,2,0.399
김포공항DT,강서구,37.56627942,126.8060664,2,0.289
강서NC,강서구,37.55978003,126.8399835,1,0.847
김포공항국제선,강서구,37.5660449,126.8005038,2,0.344
마곡케이스퀘어,강서구,37.5623745,126.8269307,1,0.656
마곡나루공원,강서구,37.567007,126.822246,1,0.269
송정역,강서구,37.56105571,126.8115099,2,0.882
강서구청사거리,강서구,37.5549266,126.8523133,4,0.894
낙성대역,관악구,37.47776013,126.9611426,2,0.738
관악서울대입구R,관악구,37.47932481,126.952702,1,0.839
신림DT,관악구,37.480935,126.908407,4,0.888
서울대역,관악구,37.48166265,126.9520165,1,0.852
낙성대DT,관악구,37.47624317,126.9651172,2,0.806
사당,관악구,37.4760559,126.980928,1,0.846
보라매대교빌딩,관악구,37.491449,126.925432,2,0.886
신림,관악구,37.48609493,126.9291602,1,0.819
신림타임스트림,관악구,37.48407102,126.9302583,1,0.838
서울대입구역,관악구,37.48120739,126.9514006,1,0.843
신림녹두거리,관악구,37.4704882,126.9381587,2,0.88
서울대입구역8번출구,관악구,37.4812061,126.9536942,1,0.845
봉천역,관악구,37.48203753,126.9422878,2,0.879
봉천현대시장,관악구,37.48665267,126.9482961,4,0.891
낙성대역7번출구,관악구,37.4771331,126.9641468,2,0.779
건국대,광진구,37.54154747,127.0711558,1,0.841
어린이대공원역,광진구,37.551946,127.076404,2,0.879
아차산역,광진구,37.55062116,127.0900321,2,0.883
올림픽대교북단,광진구,37.541129,127.09524,4,0.897
구의DT,광진구,37.54529839,127.0871967,4,0.892
자양사거리,광진구,37.5371158,127.0825821,2,0.825
군자역,광진구,37.55702607,127.0791098,1,0.267
광나루,광진구,37.54737112,127.1060487,2,0.418
건대스타시티,광진구,37.538544,127.073009,1,0.852
건대입구,광진구,37.5406604,127.0707225,1,0.792
광장,광진구,37.54261258,127.0996405,2,0.387
건국클래식,광진구,37.538466,127.071271,1,0.845
건대로데오,광진구,37.54079664,127.0667289,1,0.848
강변,광진구,37.53474181,127.0919732,2,0.879
구의역이스트폴,광진구,37.53657397,127.087857,2,0.75
건대후문,광진구,37.54603056,127.0738193,2,0.762
중곡역,광진구,37.56505701,127.0844523,2,0.88
자양이마트,광진구,37.53862005,127.0734896,1,0.848
자양역,광진구,37.53268464,127.0678785,2,0.88
세종대,광진구,37.54914275,127.0750276,2,0.878
뚝섬한강공원,광진구,37.52833825,127.0682726,4,0.719
구의역,광진구,37.537063,127.085053,2,0.745
화양삼거리,광진구,37.54774853,127.0712692,1,0.853
군자사거리,광진구,37.55769507,127.0790879,1,0.265
금천구청역,금천구,37.45588673,126.8956825,2,0.877
가산에스케이,금천구,37.48082409,126.8810008,1,0.686
독산사거리,금천구,37.47158263,126.8986055,4,0.702
금천시흥,금천구,37.44875938,126.9032388,4,0.883
가산디지털단지역,금천구,37.48135375,126.8835891,1,0.818
금천독산,금천구,37.46957081,126.8956578,4,0.62
가산디지털,금천구,37.47997009,126.8825072,3,0.547
마리오아울렛,금천구,37.47860691,126.8848483,3,0.508
가산브이타워,금천구,37.4770041,126.8835506,1,0.779
독산역,금천구,37.46770967,126.887674,2,0.877
금천금나래,금천구,37.45868985,126.897,2,0.872
가산퍼블릭,금천구,37.47574363,126.886848,1,0.839
가산현대아울렛,금천구,37.47768044,126.8888406,1,0.853
가산케이에스,금천구,37.48089352,126.8851557,1,0.796
가산어반워크,금천구,37.48002317,126.878251,1,0.846
월계역,노원구,37.6295,127.0574,2,0.626
월계트레이더스,노원구,37.62759527,127.0619061,2,0.869
상계초교사거리,노원구,37.656776,127.066442,1,0.836
공릉DT,노원구,37.6206884,127.0743116,2,0.882
노원마들역,노원구,37.66108907,127.0580154,2,0.303
공릉역,노원구,37.626337,127.072252,2,0.883
은행사거리,노원구,37.65048782,127.0759793,4,0.89
노원KT,노원구,37.654562,127.063617,1,0.842
광운대,노원구,37.62317425,127.0608065,2,0.874
중계역,노원구,37.64817,127.062244,2,0.744
노원역,노원구,37.654751,127.060034,1,0.849
월계이마트,노원구,37.62715819,127.0620955,2,0.867
태릉입구역DT,노원구,37.61942,127.07932,1,0.312
노원상계,노원구,37.651535,127.061026,2,0.758
노원구청,노원구,37.6539896,127.057755,2,0.802
창동이마트,도봉구,37.65167649,127.0469283,2,0.885
덕성여대,도봉구,37.650906,127.013279,2,0.518
