상호명,시군구명,kmeans_persona
국기원사거리,강남구,C3 도심초밀집
강남R,강남구,C3 도심초밀집
강남비젼타워,강남구,C3 도심초밀집
강남역신분당역사,강남구,C3 도심초밀집
케이스퀘어강남,강남구,C3 도심초밀집
연희동,서대문구,C4 비역세권
잠실시그마타워,송파구,C1 상업활성
잠실대교남단R,송파구,C1 상업활성
잠실역,송파구,C1 상업활성
여의도한강공원,영등포구,C0 오피스고소득
경희궁로,종로구,C1 상업활성
종로평창동,종로구,C4 비역세권
정부서울청사R,종로구,C1 상업활성
연세세브란스,중구,C3 도심초밀집
신세계본점6F,중구,C3 도심초밀집
그랜드센트럴,중구,C3 도심초밀집
서울역서부,용산구,C1 상업활성
서울역사,용산구,C1 상업활성
