상호명,cluster_A,cluster_B
서울고속터미널,1,1
방배,4,4
방배카페거리,4,4
서초법원,3,0
청계산입구역,2,4
사당로데오,1,3
파미에파크R,1,1
양재역,1,1
논현역,1,1
이수역,1,3
내방역,2,2
서초파라곤,3,0
서울아트센터,4,4
서초중앙로,2,4
센트럴시티,1,1
방배역,2,2
반포역,2,2
남부터미널,1,1
뉴코아강남,2,1
강남서초초교,3,0
교대,1,0
하이브랜드,4,4
영동2교,4,4
남부터미널역5번출구,1,1
서래마을입구,4,4
몬테소리,3,0
서초역,1,1
교대법원,1,1
강남GT타워,3,0
서초동,2,1
서울교대,1,1
강남에비뉴,1,0
서초우면,4,4
강남역7번출구,3,0
반포자이,2,1
서초태우빌딩,1,1
교대역3번출구,1,1
반포원베일리,2,1
양재역신분당역사,1,3
강남역우송빌딩,3,0
남부순환로방배DT,4,4
양재하나로마트,4,4
신논현역,1,3
강남역5번출구호정빌딩,3,0
서이초교사거리,4,1
동작대로,1,3
강남르피에드,3,0
대륭서초타워,1,1
뉴코아강남B1,2,1
서울웨이브아트센터,4,4
길음역,2,2
미아이마트,2,2
종암DT,2,2
미아,4,2
성신여대정문,1,3
종암,4,4
삼선교,2,2
월곡역,2,2
고대,2,2
현대미아,4,2
성신여대,1,3
안암역,2,2
한성대입구역,2,2
길음뉴타운,2,2
고대안암병원,2,2
장위뉴타운,4,4
성신여대입구역,1,3
송파나루역DT,1,3
송파헬리오시티,4,4
잠실시그마타워,1,1
문정법원로R,1,1
송파개롱역,2,2
문정하비오,1,1
문정역,1,1
잠실대교남단R,1,1
송파위례,4,4
송파방이DT,4,4
올림픽평화의문,2,2
송파아이파크,1,1
송파사거리,2,2
석촌서호,2,2
문정로데오,2,2
올림픽훼미리,2,2
올림픽공원남문,4,4
방이역,2,2
석촌호수,2,2
잠실푸르지오월드,1,1
잠실새내역,2,2
잠실역,1,1
갤러리아팰리스,4,4
아시아선수촌,2,2
올림픽아파트,2,4
가락본동,2,2
석촌역,2,2
가락시장역,2,2
가든파이브,2,1
문정역2번출구,1,3
잠실본동,2,2
송파NC,2,1
잠실트리지움,1,1
송파거여역,2,2
몽촌토성역,2,2
잠실학원사거리,2,2
잠실르엘,1,1
송파KT,1,1
문정법조타운 한양타워,1,1
송파마천사거리DT,4,4
목동파리공원,4,4
등촌역,2,2
목동행복한,4,4
신정DT,2,2
목동역,2,2
목동오목로,2,1
목동8단지,4,4
오목교역,2,2
신월IC DT,4,4
목동7단지,4,4
목동5단지,4,4
목동,4,4
현대목동,1,3
목동SBS,4,4
목동트라팰리스,1,1
목동10단지,4,4
신월동DT,4,4
타임스퀘어R,1,3
샛강역,0,1
영등포역,1,3
당산대로,2,2
여의도IFC몰(L1)R,0,1
여의도KBS R,0,1
국회대로,0,1
영등포KT,2,2
여의도공원R,0,1
국회의사당역,0,1
여의도역R,0,1
선유동이레빌딩,4,2
동여의도,0,1
여의도ABL타워,0,1
영등포신길,2,2
문래역,2,2
당산,1,3
여의도한양증권,0,0
여의도일신,0,1
하이테크시티,4,4
여의도,0,1
롯데캐슬여의도,0,1
문래동,2,2
여의도호성,0,1
타임스퀘어B2,1,3
영등포본동,1,3
타임스퀘어2F,1,3
여의도의사당,0,1
여의도IFC(1F),0,1
여의도교직원공제회,0,1
여의도원센티널,0,1
여의도한강공원,0,1
SSG.COM,1,3
선유도역 1번출구,2,2
여의도IFC몰(L2)STREET,0,1
영등포시장역,1,3
영등포구청역,2,2
서울양평역,2,2
영등포시장교차로,1,3
더현대서울(B2)R,0,1
여의도브라이튼,0,1
여의도TP타워,0,1
당산역사거리,1,3
신풍역,2,2
불광역,2,3
구파발사거리,2,2
연신내역사거리,1,3
연신내,1,3
구파발역,2,2
은평구청입구,4,4
은평이마트,2,2
구산역,2,2
불광역8번출구,2,2
응암역2번출구,2,2
수색,2,2
새절역,2,2
더북한산,4,4
녹번역,2,2
진관DT,4,4
연신내역5번출구,1,3
연합뉴스,1,3
혜화역,1,3
경희궁로,1,3
강북삼성병원,2,3
종로평창동,4,4
광화문우체국,3,0
종로R,3,0
독립문역,2,2
정부서울청사R,1,3
북촌로,2,2
종로수송,3,0
새문안로,1,0
안국,1,3
삼청동,4,4
적선,1,3
인사,3,0
광화문,3,0
성대입구,2,2
스페이스본,2,2
주얼리시티,1,3
종각,3,0
동숭로아트,1,3
종로관철,3,0
경복궁역,1,3
