상호명,시군구명,cluster,centroid_dist,is_outlier
이대ECC,서대문구,4,2.6,False
국회의사당역,영등포구,0,2.59,False
공덕오거리,마포구,1,2.59,False
경동1960,동대문구,2,2.58,False
송파아이파크,송파구,1,2.58,False
녹번역,은평구,2,2.58,False
영등포시장교차로,영등포구,1,2.58,False
월계이마트,노원구,2,2.58,False
화곡DT,강서구,4,2.58,False
사당,관악구,1,2.57,False
서초중앙로,서초구,2,2.56,False
삼선교,성북구,2,2.56,False
강남청담빌딩,강남구,1,2.56,False
학동역,강남구,2,2.55,False
연세종합관,서대문구,2,2.55,False
이수역,서초구,1,2.55,False
샛강역,영등포구,0,2.55,False
목동행복한,양천구,4,2.55,False
이태원역,용산구,2,2.55,False
신림DT,관악구,4,2.54,False
합정메세나몰,마포구,1,2.54,False
여의도TP타워,영등포구,0,2.54,False
여의도브라이튼,영등포구,0,2.54,False
주얼리시티,종로구,1,2.54,False
서울아트센터,서초구,4,2.54,False
대학로,종로구,4,2.54,False
이수역13번출구,동작구,1,2.53,False
미아역,강북구,2,2.53,False
신도림센터포인트,구로구,2,2.53,False
황학캐슬,중구,2,2.53,False
수서역R,강남구,2,2.52,False
천호이마트,강동구,1,2.52,False
서초파라곤,서초구,3,2.52,False
서울대입구역8번출구,관악구,1,2.52,False
양재역,서초구,1,2.51,False
신당역,중구,1,2.51,False
잠실트리지움,송파구,1,2.51,False
방화DT,강서구,2,2.51,False
목동5단지,양천구,4,2.51,False
현대목동,양천구,1,2.51,False
종로3가,종로구,3,2.51,False
보라매공원R,동작구,2,2.5,False
선릉로,강남구,0,2.49,False
더현대서울(B2)R,영등포구,0,2.48,False
오목교역,양천구,2,2.48,False
광장,광진구,2,2.48,False
송정역,강서구,2,2.48,False
마포역뉴매드,마포구,2,2.48,False
금천시흥,금천구,4,2.48,False
마곡보타닉게이트,강서구,2,2.48,False
강변,광진구,2,2.48,False
포포인츠구로,구로구,1,2.48,False
동대문역사문화공원역,중구,1,2.47,False
성대입구,종로구,2,2.47,False
남가좌사거리,서대문구,4,2.47,False
압구정미소,강남구,1,2.46,False
신월동DT,양천구,4,2.46,False
노원구청,노원구,2,2.46,False
아크로힐스논현,강남구,0,2.46,False
서울대입구역,관악구,1,2.46,False
봉천현대시장,관악구,4,2.46,False
수서역사거리,강남구,2,2.46,False
여의도KBS R,영등포구,0,2.45,False
무교로,중구,3,2.44,False
신촌명물거리,서대문구,1,2.44,False
성신여대,성북구,1,2.44,False
강일역,강동구,2,2.44,False
용산아이파크몰1F,용산구,1,2.44,False
문정역,송파구,1,2.44,False
사당로데오,서초구,1,2.43,False
도산가로수길,강남구,1,2.43,False
성수낙낙,성동구,4,2.42,False
몽촌토성역,송파구,2,2.42,False
영등포시장역,영등포구,1,2.42,False
중곡역,광진구,2,2.4,False
사가정역,중랑구,2,2.4,False
발산역5번출구,강서구,1,2.4,False
동대문공원,중구,1,2.4,False
신당역사거리,중구,1,2.39,False
왕십리역,성동구,1,2.39,False
자양이마트,광진구,1,2.39,False
연신내역5번출구,은평구,1,2.39,False
낙성대역7번출구,관악구,2,2.38,False
송파마천사거리DT,송파구,4,2.38,False
용산해링턴스퀘어,용산구,1,2.38,False
황학사거리,성동구,4,2.37,False
신용산역,용산구,1,2.37,False
서래마을입구,서초구,4,2.37,False
상봉역,중랑구,2,2.37,False
문정하비오,송파구,1,2.37,False
용산역써밋R,용산구,1,2.36,False
상봉,중랑구,2,2.36,False
연신내,은평구,1,2.36,False
회기역사거리,동대문구,1,2.36,False
당산대로,영등포구,2,2.36,False
강남역5번출구호정빌딩,서초구,3,2.35,False
마곡나루공원,강서구,1,2.35,False
면목역,중랑구,2,2.35,False
장위뉴타운,성북구,4,2.35,False
이대,서대문구,1,2.34,False
장한평역,동대문구,2,2.34,False
북촌로,종로구,2,2.33,False
신사역성일빌딩,강남구,1,2.33,False
사당역,동작구,1,2.33,False
경리단길,용산구,2,2.32,False
용산이마트,용산구,1,2.32,False
구파발사거리,은평구,2,2.31,False
이대역,서대문구,1,2.31,False
중랑역,중랑구,2,2.3,False
마곡웰튼,강서구,2,2.3,False
안암역,성북구,2,2.29,False
미아이마트,성북구,2,2.29,False
서초역,서초구,1,2.29,False
동여의도,영등포구,0,2.29,False
관악서울대입구R,관악구,1,2.28,False
아시아선수촌,송파구,2,2.28,False
당산역사거리,영등포구,1,2.28,False
둔촌동,강동구,2,2.28,False
청계크리스탈스퀘어,중구,3,2.28,False
국립중앙의료원,중구,1,2.27,False
마로니에공원,종로구,1,2.27,False
양재강남빌딩R,강남구,1,2.27,False
미아뉴타운,강북구,2,2.27,False
은행사거리,노원구,4,2.26,False
연희DT,서대문구,4,2.26,False
아현역,서대문구,2,2.26,False
신대방삼거리역,동작구,2,2.26,False
동대입구역,중구,2,2.26,False
구산역,은평구,2,2.25,False
여의도역R,영등포구,0,2.25,False
종암DT,성북구,2,2.25,False
용산리첸시아,용산구,2,2.24,False
삼청동,종로구,4,2.24,False
구로디지털로,구로구,1,2.24,False
영등포KT,영등포구,2,2.24,False
건대후문,광진구,2,2.24,False
답십리역,동대문구,2,2.23,False
화양삼거리,광진구,1,2.23,False
구의역,광진구,2,2.23,False
동숭로아트,종로구,1,2.23,False
송파NC,송파구,2,2.23,False
여의도의사당,영등포구,0,2.23,False
가락시장역,송파구,2,2.23,False
방배역,서초구,2,2.23,False
상계초교사거리,노원구,1,2.23,False
영동2교,서초구,4,2.22,False
국회대로,영등포구,0,2.22,False
여의도,영등포구,0,2.22,False
마포경찰서후문,마포구,2,2.22,False
도봉로DT,도봉구,4,2.21,False
잠실새내역,송파구,2,2.21,False
낙성대역,관악구,2,2.21,False
여의도교직원공제회,영등포구,0,2.2,False
고척아이파크,구로구,4,2.2,False
올림픽훼미리,송파구,2,2.2,False
문정법원로R,송파구,1,2.2,False
북가좌DT,서대문구,2,2.2,False
타임스퀘어R,영등포구,1,2.2,False
남부터미널역5번출구,서초구,1,2.2,False
대치한티,강남구,2,2.19,False
신도림힐스테이트,구로구,2,2.19,False
여의도IFC몰(L2)STREET,영등포구,0,2.19,False
방배다이치빌딩,서초구,2,2.19,False
포이,강남구,4,2.18,False
등촌역,양천구,2,2.18,False
노량진역,동작구,2,2.18,False
애오개역,마포구,2,2.18,False
강남구청역,강남구,1,2.18,False
길음역,성북구,2,2.17,False
한양대복지관,성동구,2,2.17,False
여의도IFC몰(L1)R,영등포구,0,2.17,False
올림픽평화의문,송파구,2,2.16,False
구파발역,은평구,2,2.15,False
양재역신분당역사,서초구,1,2.15,False
상암디지털큐브,마포구,4,2.15,False
순천향입구,용산구,4,2.15,False
방배,서초구,4,2.15,False
혜화역,종로구,1,2.15,False
서강대흥역,마포구,2,2.14,False
마포염리,마포구,1,2.14,False
낙성대DT,관악구,2,2.14,False
타임스퀘어B2,영등포구,1,2.13,False
건대스타시티,광진구,1,2.13,False
응암역2번출구,은평구,2,2.12,False
타임스퀘어2F,영등포구,1,2.12,False
세종대,광진구,2,2.12,False
남부터미널,서초구,1,2.11,False
쌍문도봉로,도봉구,2,2.11,False
명일역,강동구,2,2.11,False
언주역,강남구,0,2.11,False
갤러리아팰리스,송파구,4,2.1,False
강동그란츠,강동구,1,2.1,False
강동역,강동구,2,2.1,False
합정푸르지오,마포구,1,2.1,False
석촌역,송파구,2,2.09,False
망우동,중랑구,2,2.09,False
천호사거리,강동구,1,2.09,False
마곡나루역,강서구,2,2.07,False
문정법조타운 한양타워,송파구,1,2.07,False
한양대,성동구,2,2.07,False
영등포본동,영등포구,1,2.07,False
종로수송,종로구,3,2.06,False
시청,중구,3,2.06,False
사이버한국외대,동대문구,2,2.04,False
합정,마포구,1,2.04,False
신정DT,양천구,2,2.03,False
방배카페거리,서초구,4,2.01,False
상도대로,동작구,2,2.01,False
봉천역,관악구,2,2.01,False
논현역사거리,강남구,1,2.01,False
동숭길입구,종로구,1,2.0,False
상일동,강동구,4,2.0,False
엔터식스,성동구,1,2.0,False
불광역8번출구,은평구,2,1.99,False
성수,성동구,1,1.99,False
동빙고,용산구,4,1.99,False
신사역,강남구,1,1.99,False
송파사거리,송파구,2,1.98,False
강서NC,강서구,1,1.98,False
송파개롱역,송파구,2,1.98,False
영등포구청역,영등포구,2,1.97,False
구의역이스트폴,광진구,2,1.96,False
연신내역사거리,은평구,1,1.96,False
광운대,노원구,2,1.96,False
화곡동,강서구,2,1.96,False
송파거여역,송파구,2,1.96,False
강서구청사거리,강서구,4,1.94,False
디지털미디어시티역,마포구,2,1.93,False
등촌대로,강서구,2,1.93,False
문래역,영등포구,2,1.93,False
가재울뉴타운,서대문구,4,1.92,False
발산역,강서구,1,1.92,False
여의도원센티널,영등포구,0,1.92,False
은평이마트,은평구,2,1.91,False
금천구청역,금천구,2,1.91,False
서강대,마포구,2,1.91,False
연대동문,서대문구,4,1.91,False
방배로,서초구,2,1.91,False
논현역,서초구,1,1.9,False
서울교대,서초구,1,1.9,False
영등포역,영등포구,1,1.89,False
충정로역,서대문구,2,1.89,False
마곡코엑스,강서구,2,1.88,False
자양사거리,광진구,2,1.88,False
창동이마트,도봉구,2,1.88,False
중계역,노원구,2,1.88,False
외대정문,동대문구,2,1.86,False
여의도IFC(1F),영등포구,0,1.85,False
고대안암병원,성북구,2,1.84,False
구로고척,구로구,2,1.84,False
은평구청입구,은평구,4,1.83,False
숭실대,동작구,2,1.83,False
어린이대공원역,광진구,2,1.82,False
중앙대,동작구,4,1.82,False
송파방이DT,송파구,4,1.81,False
노원KT,노원구,1,1.81,False
노원역,노원구,1,1.8,False
여의도일신,영등포구,0,1.79,False
석촌서호,송파구,2,1.79,False
목동10단지,양천구,4,1.77,False
금천금나래,금천구,2,1.76,False
당산,영등포구,1,1.75,False
목동8단지,양천구,4,1.75,False
송파헬리오시티,송파구,4,1.75,False
문정로데오,송파구,2,1.75,False
창동역,도봉구,2,1.75,False
신풍역,영등포구,2,1.73,False
공릉역,노원구,2,1.73,False
굽은다리역,강동구,2,1.73,False
약수역,중구,2,1.72,False
자양역,광진구,2,1.72,False
강동구청DT,강동구,2,1.71,False
숙명여대정문,용산구,4,1.71,False
강동암사DT,강동구,4,1.7,False
신설동역,동대문구,2,1.69,False
충정타워,서대문구,2,1.69,False
화곡역8번출구,강서구,2,1.69,False
숭실대입구역,동작구,2,1.68,False
왕십리역9번출구,성동구,1,1.68,False
하이테크시티,영등포구,4,1.68,False
한성대입구역,성북구,2,1.65,False
연대,서대문구,1,1.64,False
서강대프라자,마포구,2,1.64,False
중랑구청,중랑구,4,1.62,False
잠실학원사거리,송파구,2,1.62,False
하이브랜드,서초구,4,1.62,False
방이역,송파구,2,1.6,False
공덕,마포구,1,1.6,False
성수역,성동구,1,1.59,False
공릉DT,노원구,2,1.59,False
문래동,영등포구,2,1.59,False
고대,성북구,2,1.57,False
염창대로,강서구,2,1.57,False
쌍문,도봉구,2,1.56,False
답십리초교사거리,동대문구,2,1.55,False
한남동R,용산구,4,1.54,False
양천향교역,강서구,2,1.53,False
올림픽공원북2문,강동구,4,1.52,False
선유도역 1번출구,영등포구,2,1.51,False
서울숲역,성동구,2,1.48,False
동호로,중구,2,1.47,False
마포용강동,마포구,2,1.47,False
종암,성북구,4,1.46,False
아차산역,광진구,2,1.45,False
도봉구청,도봉구,2,1.44,False
월곡역,성북구,2,1.43,False
노량진동,동작구,2,1.42,False
남성역,동작구,2,1.42,False
구로NC,구로구,2,1.4,False
효창공원앞역,용산구,2,1.38,False
목동역,양천구,2,1.36,False
가락본동,송파구,2,1.36,False
올림픽공원남문,송파구,4,1.36,False
내방역,서초구,2,1.32,False
구의DT,광진구,4,1.31,False
방학역,도봉구,2,1.28,False
가양역,강서구,2,1.28,False
내발산,강서구,2,1.27,False
암사역,강동구,2,1.25,False
우장산역,강서구,2,1.24,False
가양역사거리,강서구,2,1.18,False
둔촌포레온스테이션5,강동구,2,1.14,False
염창역,강서구,2,1.1,False
강서우장산,강서구,2,1.08,False
서울양평역,영등포구,2,1.07,False
올림픽대교북단,광진구,4,0.93,False
상왕십리역,성동구,2,0.93,False
