dataset,label,transform,feature_a,feature_b,pearson_r,abs_r,strong_pair
starbucks,스타벅스,transformed,subway_lunch_peak_500m,dist_nearest_starbucks,-0.497628,0.497628,False
non_starbucks,비스타벅스,raw,num_convenience_500m,land_price,0.497237,0.497237,False
all,전체,transformed,nearest_subway_ridership,subway_lunch_peak_500m,0.497184,0.497184,False
all,전체,raw,num_convenience_500m,land_price,0.496854,0.496854,False
all,전체,raw,nearest_subway_ridership,subway_morning_peak_500m,0.496537,0.496537,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,other_franchise_cafe_count_500m,0.495621,0.495621,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,subway_lunch_peak_500m,0.493852,0.493852,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,subway_morning_peak_500m,0.493688,0.493688,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,dist_nearest_starbucks,-0.492118,0.492118,False
all,전체,raw,subway_lunch_peak_500m,num_convenience_500m,0.490493,0.490493,False
all,전체,transformed,subway_evening_peak_500m,low_price_cafe_count_500m,0.490382,0.490382,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,num_convenience_500m,0.490349,0.490349,False
all,전체,transformed,subway_morning_peak_500m,num_retail_500m,0.490171,0.490171,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,low_price_cafe_count_500m,0.489604,0.489604,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,num_retail_500m,0.488973,0.488973,False
starbucks,스타벅스,transformed,subway_lunch_peak_500m,num_convenience_500m,0.488563,0.488563,False
starbucks,스타벅스,transformed,subway_lunch_peak_500m,other_franchise_cafe_count_500m,0.48826,0.48826,False
all,전체,raw,subway_lunch_peak_500m,independent_cafe_count_500m,0.487693,0.487693,False
all,전체,transformed,subway_lunch_peak_500m,independent_cafe_count_500m,0.486051,0.486051,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,independent_cafe_count_500m,0.485521,0.485521,False
starbucks,스타벅스,raw,num_convenience_500m,dist_nearest_starbucks,-0.484637,0.484637,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,independent_cafe_count_500m,0.483918,0.483918,False
starbucks,스타벅스,raw,num_retail_500m,land_price,0.483917,0.483917,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,other_franchise_cafe_count_500m,0.483011,0.483011,False
starbucks,스타벅스,transformed,nearest_subway_ridership,dist_nearest_starbucks,-0.482993,0.482993,False
starbucks,스타벅스,transformed,avg_income,num_offices,0.482634,0.482634,False
starbucks,스타벅스,raw,num_retail_500m,other_franchise_cafe_count_500m,0.480858,0.480858,False
starbucks,스타벅스,transformed,dist_nearest_starbucks,land_price,-0.480709,0.480709,False
starbucks,스타벅스,transformed,num_retail_500m,land_price,0.479603,0.479603,False
starbucks,스타벅스,transformed,nearest_subway_ridership,low_price_cafe_count_500m,0.478376,0.478376,False
all,전체,transformed,num_restaurants_500m,dist_nearest_starbucks,-0.477397,0.477397,False
non_starbucks,비스타벅스,transformed,other_franchise_cafe_count_500m,dist_nearest_starbucks,-0.477368,0.477368,False
starbucks,스타벅스,raw,subway_evening_peak_500m,low_price_cafe_count_500m,0.47729,0.47729,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,low_price_cafe_count_500m,0.477012,0.477012,False
all,전체,transformed,other_franchise_cafe_count_500m,dist_nearest_starbucks,-0.476878,0.476878,False
non_starbucks,비스타벅스,transformed,num_restaurants_500m,dist_nearest_starbucks,-0.475613,0.475613,False
all,전체,transformed,nearest_subway_ridership,subway_morning_peak_500m,0.47535,0.47535,False
all,전체,transformed,subway_morning_peak_500m,low_price_cafe_count_500m,0.474988,0.474988,False
all,전체,raw,subway_evening_peak_500m,low_price_cafe_count_500m,0.474984,0.474984,False
all,전체,transformed,num_convenience_500m,dist_nearest_starbucks,-0.474839,0.474839,False
starbucks,스타벅스,transformed,nearest_subway_ridership,other_franchise_cafe_count_500m,0.474815,0.474815,False
non_starbucks,비스타벅스,transformed,num_convenience_500m,dist_nearest_starbucks,-0.474176,0.474176,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,low_price_cafe_count_500m,0.47401,0.47401,False
all,전체,transformed,num_retail_500m,dist_nearest_starbucks,-0.473706,0.473706,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,low_price_cafe_count_500m,0.473701,0.473701,False
all,전체,transformed,subway_lunch_peak_500m,low_price_cafe_count_500m,0.472196,0.472196,False
starbucks,스타벅스,raw,subway_morning_peak_500m,low_price_cafe_count_500m,0.472092,0.472092,False
non_starbucks,비스타벅스,transformed,num_retail_500m,dist_nearest_starbucks,-0.472017,0.472017,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,subway_morning_peak_500m,0.471814,0.471814,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,low_price_cafe_count_500m,0.471709,0.471709,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,num_convenience_500m,0.471697,0.471697,False
starbucks,스타벅스,raw,other_franchise_cafe_count_500m,land_price,0.471631,0.471631,False
all,전체,transformed,independent_cafe_count_500m,num_offices,0.47052,0.47052,False
non_starbucks,비스타벅스,transformed,independent_cafe_count_500m,num_offices,0.468835,0.468835,False
starbucks,스타벅스,raw,other_franchise_cafe_count_500m,dist_nearest_starbucks,-0.46814,0.46814,False
all,전체,raw,other_franchise_cafe_count_500m,land_price,0.467517,0.467517,False
non_starbucks,비스타벅스,raw,other_franchise_cafe_count_500m,land_price,0.466015,0.466015,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,low_price_cafe_count_500m,0.465429,0.465429,False
starbucks,스타벅스,raw,num_convenience_500m,land_price,0.464745,0.464745,False
all,전체,raw,subway_morning_peak_500m,low_price_cafe_count_500m,0.463279,0.463279,False
all,전체,raw,num_restaurants_500m,dist_nearest_starbucks,-0.463099,0.463099,False
non_starbucks,비스타벅스,raw,num_restaurants_500m,dist_nearest_starbucks,-0.461896,0.461896,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,low_price_cafe_count_500m,0.46167,0.46167,False
all,전체,raw,num_convenience_500m,dist_nearest_starbucks,-0.460839,0.460839,False
non_starbucks,비스타벅스,raw,num_convenience_500m,dist_nearest_starbucks,-0.460688,0.460688,False
all,전체,raw,subway_morning_peak_500m,num_retail_500m,0.458487,0.458487,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,num_retail_500m,0.457488,0.457488,False
all,전체,raw,subway_morning_peak_500m,independent_cafe_count_500m,0.457024,0.457024,False
starbucks,스타벅스,raw,subway_morning_peak_500m,land_price,0.455031,0.455031,False
non_starbucks,비스타벅스,raw,other_franchise_cafe_count_500m,dist_nearest_starbucks,-0.453774,0.453774,False
all,전체,transformed,subway_morning_peak_500m,independent_cafe_count_500m,0.453685,0.453685,False
all,전체,raw,other_franchise_cafe_count_500m,dist_nearest_starbucks,-0.453149,0.453149,False
starbucks,스타벅스,transformed,num_convenience_500m,land_price,0.453037,0.453037,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,independent_cafe_count_500m,0.453035,0.453035,False
starbucks,스타벅스,raw,subway_morning_peak_500m,num_retail_500m,0.452178,0.452178,False
all,전체,transformed,other_franchise_cafe_count_500m,land_price,0.451343,0.451343,False
starbucks,스타벅스,transformed,low_price_cafe_count_500m,dist_nearest_starbucks,-0.450717,0.450717,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,independent_cafe_count_500m,0.450471,0.450471,False
non_starbucks,비스타벅스,transformed,other_franchise_cafe_count_500m,land_price,0.450246,0.450246,False
starbucks,스타벅스,transformed,subway_lunch_peak_500m,low_price_cafe_count_500m,0.449743,0.449743,False
all,전체,transformed,subway_evening_peak_500m,dist_nearest_starbucks,-0.448273,0.448273,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,dist_nearest_starbucks,-0.447596,0.447596,False
all,전체,raw,subway_lunch_peak_500m,low_price_cafe_count_500m,0.447405,0.447405,False
all,전체,raw,avg_income,land_price,0.447297,0.447297,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,dist_nearest_starbucks,-0.446752,0.446752,False
all,전체,transformed,subway_morning_peak_500m,dist_nearest_starbucks,-0.446732,0.446732,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,low_price_cafe_count_500m,0.446608,0.446608,False
non_starbucks,비스타벅스,raw,avg_income,land_price,0.446469,0.446469,False
starbucks,스타벅스,raw,subway_evening_peak_500m,land_price,0.444549,0.444549,False
starbucks,스타벅스,raw,nearest_subway_ridership,low_price_cafe_count_500m,0.441349,0.441349,False
starbucks,스타벅스,raw,independent_cafe_count_500m,num_offices,0.440758,0.440758,False
starbucks,스타벅스,transformed,other_franchise_cafe_count_500m,land_price,0.439335,0.439335,False
all,전체,raw,subway_evening_peak_500m,land_price,0.43859,0.43859,False
starbucks,스타벅스,raw,nearest_subway_ridership,other_franchise_cafe_count_500m,0.43821,0.43821,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,low_price_cafe_count_500m,0.437081,0.437081,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,land_price,0.436928,0.436928,False
all,전체,transformed,subway_lunch_peak_500m,dist_nearest_starbucks,-0.435271,0.435271,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,dist_nearest_starbucks,-0.434622,0.434622,False
starbucks,스타벅스,transformed,num_restaurants_500m,num_offices,0.432684,0.432684,False
starbucks,스타벅스,raw,subway_evening_peak_500m,dist_nearest_starbucks,-0.431635,0.431635,False
starbucks,스타벅스,raw,dist_nearest_subway,dist_nearest_starbucks,0.430053,0.430053,False
all,전체,transformed,subway_evening_peak_500m,land_price,0.429579,0.429579,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,land_price,0.428941,0.428941,False
all,전체,transformed,num_restaurants_500m,num_offices,0.426805,0.426805,False
all,전체,raw,subway_morning_peak_500m,land_price,0.426687,0.426687,False
non_starbucks,비스타벅스,transformed,num_restaurants_500m,num_offices,0.425661,0.425661,False
all,전체,transformed,nearest_subway_ridership,low_price_cafe_count_500m,0.425213,0.425213,False
starbucks,스타벅스,raw,avg_income,land_price,0.424445,0.424445,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,land_price,0.424021,0.424021,False
starbucks,스타벅스,raw,nearest_subway_ridership,num_retail_500m,0.423025,0.423025,False
all,전체,transformed,independent_cafe_count_500m,dist_nearest_starbucks,-0.422664,0.422664,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,low_price_cafe_count_500m,0.4226,0.4226,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,land_price,0.4219,0.4219,False
all,전체,raw,subway_lunch_peak_500m,land_price,0.421162,0.421162,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,land_price,0.419728,0.419728,False
starbucks,스타벅스,transformed,num_retail_500m,num_offices,0.419305,0.419305,False
non_starbucks,비스타벅스,transformed,independent_cafe_count_500m,dist_nearest_starbucks,-0.419117,0.419117,False
starbucks,스타벅스,raw,low_price_cafe_count_500m,dist_nearest_starbucks,-0.418823,0.418823,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,dist_nearest_starbucks,0.417509,0.417509,False
all,전체,transformed,subway_lunch_peak_500m,land_price,0.416954,0.416954,False
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,land_price,0.416382,0.416382,False
all,전체,transformed,dist_nearest_subway,dist_nearest_starbucks,0.414826,0.414826,False
starbucks,스타벅스,raw,subway_morning_peak_500m,dist_nearest_starbucks,-0.414202,0.414202,False
all,전체,transformed,low_price_cafe_count_500m,dist_nearest_starbucks,-0.414004,0.414004,False
non_starbucks,비스타벅스,raw,dist_nearest_subway,subway_morning_peak_500m,-0.413699,0.413699,False
non_starbucks,비스타벅스,transformed,low_price_cafe_count_500m,dist_nearest_starbucks,-0.413693,0.413693,False
all,전체,raw,dist_nearest_subway,subway_morning_peak_500m,-0.412618,0.412618,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,dist_nearest_starbucks,-0.411709,0.411709,False
all,전체,raw,independent_cafe_count_500m,dist_nearest_starbucks,-0.411539,0.411539,False
all,전체,transformed,dist_nearest_starbucks,land_price,-0.411335,0.411335,False
non_starbucks,비스타벅스,raw,avg_income,num_offices,0.41065,0.41065,False
all,전체,raw,avg_income,num_offices,0.4103,0.4103,False
non_starbucks,비스타벅스,transformed,dist_nearest_starbucks,land_price,-0.410186,0.410186,False
all,전체,transformed,nearest_subway_ridership,other_franchise_cafe_count_500m,0.40916,0.40916,False
non_starbucks,비스타벅스,raw,independent_cafe_count_500m,dist_nearest_starbucks,-0.408704,0.408704,False
all,전체,raw,nearest_subway_ridership,num_retail_500m,0.406739,0.406739,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,other_franchise_cafe_count_500m,0.405936,0.405936,False
all,전체,transformed,num_convenience_500m,num_offices,0.405745,0.405745,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,num_retail_500m,0.405506,0.405506,False
non_starbucks,비스타벅스,transformed,num_convenience_500m,num_offices,0.405136,0.405136,False
starbucks,스타벅스,transformed,dist_nearest_starbucks,num_offices,-0.403207,0.403207,False
all,전체,transformed,subway_morning_peak_500m,land_price,0.402352,0.402352,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,land_price,0.401212,0.401212,False
non_starbucks,비스타벅스,raw,low_price_cafe_count_500m,dist_nearest_starbucks,-0.398191,0.398191,False
all,전체,raw,low_price_cafe_count_500m,dist_nearest_starbucks,-0.39812,0.39812,False
non_starbucks,비스타벅스,raw,dist_nearest_subway,subway_evening_peak_500m,-0.397745,0.397745,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,land_price,0.397651,0.397651,False
all,전체,raw,dist_nearest_subway,subway_evening_peak_500m,-0.397126,0.397126,False
non_starbucks,비스타벅스,raw,num_convenience_500m,living_population,0.39667,0.39667,False
non_starbucks,비스타벅스,raw,dist_nearest_subway,subway_lunch_peak_500m,-0.396482,0.396482,False
all,전체,raw,dist_nearest_subway,dist_nearest_starbucks,0.396418,0.396418,False
non_starbucks,비스타벅스,raw,dist_nearest_subway,dist_nearest_starbucks,0.396352,0.396352,False
non_starbucks,비스타벅스,raw,living_population,land_price,0.396083,0.396083,False
all,전체,raw,nearest_subway_ridership,low_price_cafe_count_500m,0.39578,0.39578,False
all,전체,raw,living_population,land_price,0.395687,0.395687,False
non_starbucks,비스타벅스,raw,independent_cafe_count_500m,living_population,0.39554,0.39554,False
all,전체,raw,dist_nearest_subway,subway_lunch_peak_500m,-0.395478,0.395478,False
all,전체,raw,independent_cafe_count_500m,living_population,0.39497,0.39497,False
all,전체,raw,num_convenience_500m,living_population,0.394926,0.394926,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,low_price_cafe_count_500m,0.393265,0.393265,False
non_starbucks,비스타벅스,raw,num_restaurants_500m,living_population,0.392809,0.392809,False
starbucks,스타벅스,transformed,num_convenience_500m,num_offices,0.392503,0.392503,False
all,전체,raw,num_restaurants_500m,living_population,0.392274,0.392274,False
all,전체,raw,low_price_cafe_count_500m,land_price,0.39127,0.39127,False
non_starbucks,비스타벅스,raw,low_price_cafe_count_500m,land_price,0.390374,0.390374,False
starbucks,스타벅스,raw,nearest_subway_ridership,dist_nearest_starbucks,-0.38966,0.38966,False
all,전체,transformed,living_population,land_price,0.38947,0.38947,False
non_starbucks,비스타벅스,transformed,living_population,land_price,0.389131,0.389131,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,num_retail_500m,-0.388963,0.388963,False
starbucks,스타벅스,raw,num_restaurants_500m,num_offices,0.388954,0.388954,False
all,전체,transformed,dist_nearest_subway,num_retail_500m,-0.38755,0.38755,False
all,전체,raw,independent_cafe_count_500m,num_offices,0.384585,0.384585,False
starbucks,스타벅스,transformed,subway_lunch_peak_500m,land_price,0.383324,0.383324,False
all,전체,raw,num_convenience_500m,num_offices,0.382586,0.382586,False
non_starbucks,비스타벅스,raw,num_convenience_500m,num_offices,0.382511,0.382511,False
starbucks,스타벅스,raw,dist_nearest_starbucks,land_price,-0.382119,0.382119,False
non_starbucks,비스타벅스,raw,independent_cafe_count_500m,num_offices,0.381999,0.381999,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,land_price,0.381259,0.381259,False
starbucks,스타벅스,raw,low_price_cafe_count_500m,land_price,0.381157,0.381157,False
all,전체,transformed,num_subway_500m,other_franchise_cafe_count_500m,0.380214,0.380214,False
all,전체,raw,num_subway_500m,other_franchise_cafe_count_500m,0.380214,0.380214,False
non_starbucks,비스타벅스,transformed,num_subway_500m,other_franchise_cafe_count_500m,0.380097,0.380097,False
non_starbucks,비스타벅스,raw,num_subway_500m,other_franchise_cafe_count_500m,0.380097,0.380097,False
non_starbucks,비스타벅스,transformed,num_convenience_500m,living_population,0.378218,0.378218,False
all,전체,transformed,num_retail_500m,num_offices,0.378032,0.378032,False
all,전체,transformed,num_convenience_500m,living_population,0.377278,0.377278,False
non_starbucks,비스타벅스,transformed,num_retail_500m,num_offices,0.375445,0.375445,False
all,전체,raw,num_subway_500m,num_restaurants_500m,0.375236,0.375236,False
all,전체,transformed,num_subway_500m,num_restaurants_500m,0.375236,0.375236,False
non_starbucks,비스타벅스,raw,num_subway_500m,num_restaurants_500m,0.375107,0.375107,False
non_starbucks,비스타벅스,transformed,num_subway_500m,num_restaurants_500m,0.375107,0.375107,False
all,전체,raw,num_restaurants_500m,num_offices,0.374176,0.374176,False
starbucks,스타벅스,transformed,dist_nearest_subway,dist_nearest_starbucks,0.373222,0.373222,False
all,전체,raw,subway_morning_peak_500m,num_offices,0.373133,0.373133,False
non_starbucks,비스타벅스,raw,num_restaurants_500m,num_offices,0.372773,0.372773,False
non_starbucks,비스타벅스,transformed,dist_nearest_starbucks,num_offices,-0.372477,0.372477,False
all,전체,transformed,dist_nearest_starbucks,num_offices,-0.372371,0.372371,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,num_offices,0.37163,0.37163,False
starbucks,스타벅스,raw,num_retail_500m,dist_nearest_starbucks,-0.36948,0.36948,False
all,전체,raw,subway_morning_peak_500m,dist_nearest_starbucks,-0.365912,0.365912,False
all,전체,transformed,other_franchise_cafe_count_500m,num_offices,0.365485,0.365485,False
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,dist_nearest_starbucks,-0.365335,0.365335,False
non_starbucks,비스타벅스,transformed,other_franchise_cafe_count_500m,num_offices,0.363843,0.363843,False
all,전체,transformed,num_subway_500m,num_retail_500m,0.363681,0.363681,False
non_starbucks,비스타벅스,transformed,num_subway_500m,num_retail_500m,0.363053,0.363053,False
all,전체,raw,subway_evening_peak_500m,dist_nearest_starbucks,-0.36269,0.36269,False
starbucks,스타벅스,transformed,subway_morning_peak_500m,num_offices,0.361548,0.361548,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,dist_nearest_starbucks,-0.361228,0.361228,False
starbucks,스타벅스,raw,subway_morning_peak_500m,num_offices,0.360813,0.360813,False
all,전체,transformed,nearest_subway_ridership,land_price,0.360761,0.360761,False
starbucks,스타벅스,transformed,other_franchise_cafe_count_500m,num_offices,0.360562,0.360562,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,land_price,0.35998,0.35998,False
starbucks,스타벅스,raw,num_convenience_500m,num_offices,0.359626,0.359626,False
all,전체,transformed,low_price_cafe_count_500m,land_price,0.35951,0.35951,False
non_starbucks,비스타벅스,transformed,low_price_cafe_count_500m,land_price,0.359153,0.359153,False
starbucks,스타벅스,raw,independent_cafe_count_500m,living_population,0.359016,0.359016,False
all,전체,raw,nearest_subway_ridership,other_franchise_cafe_count_500m,0.357283,0.357283,False
all,전체,transformed,num_restaurants_500m,living_population,0.356438,0.356438,False
starbucks,스타벅스,transformed,num_subway_500m,independent_cafe_count_500m,0.356333,0.356333,False
starbucks,스타벅스,raw,num_subway_500m,independent_cafe_count_500m,0.356333,0.356333,False
non_starbucks,비스타벅스,transformed,num_restaurants_500m,living_population,0.356058,0.356058,False
starbucks,스타벅스,raw,num_subway_500m,num_retail_500m,0.35565,0.35565,False
starbucks,스타벅스,transformed,nearest_subway_ridership,num_offices,0.354164,0.354164,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,other_franchise_cafe_count_500m,0.353246,0.353246,False
all,전체,raw,num_subway_500m,num_retail_500m,0.352901,0.352901,False
all,전체,transformed,independent_cafe_count_500m,living_population,0.352554,0.352554,False
starbucks,스타벅스,raw,avg_income,num_offices,0.352403,0.352403,False
non_starbucks,비스타벅스,transformed,independent_cafe_count_500m,living_population,0.352099,0.352099,False
non_starbucks,비스타벅스,raw,num_subway_500m,num_retail_500m,0.351883,0.351883,False
starbucks,스타벅스,transformed,num_subway_500m,num_retail_500m,0.351103,0.351103,False
starbucks,스타벅스,raw,num_restaurants_500m,living_population,0.351095,0.351095,False
non_starbucks,비스타벅스,raw,num_subway_500m,num_convenience_500m,0.350214,0.350214,False
non_starbucks,비스타벅스,transformed,num_subway_500m,num_convenience_500m,0.350214,0.350214,False
starbucks,스타벅스,transformed,nearest_subway_ridership,land_price,0.349925,0.349925,False
all,전체,transformed,num_subway_500m,num_convenience_500m,0.349802,0.349802,False
all,전체,raw,num_subway_500m,num_convenience_500m,0.349802,0.349802,False
starbucks,스타벅스,transformed,living_population,land_price,0.349797,0.349797,False
starbucks,스타벅스,transformed,num_subway_500m,num_restaurants_500m,0.348802,0.348802,False
starbucks,스타벅스,raw,num_subway_500m,num_restaurants_500m,0.348802,0.348802,False
non_starbucks,비스타벅스,transformed,other_franchise_cafe_count_500m,living_population,0.348427,0.348427,False
all,전체,raw,subway_lunch_peak_500m,dist_nearest_starbucks,-0.347508,0.347508,False
all,전체,transformed,other_franchise_cafe_count_500m,living_population,0.34722,0.34722,False
starbucks,스타벅스,raw,living_population,land_price,0.346807,0.346807,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,num_offices,0.346254,0.346254,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,dist_nearest_starbucks,-0.346125,0.346125,False
non_starbucks,비스타벅스,raw,num_subway_500m,low_price_cafe_count_500m,0.345507,0.345507,False
non_starbucks,비스타벅스,transformed,num_subway_500m,low_price_cafe_count_500m,0.345507,0.345507,False
all,전체,raw,num_subway_500m,low_price_cafe_count_500m,0.344945,0.344945,False
all,전체,transformed,num_subway_500m,low_price_cafe_count_500m,0.344945,0.344945,False
non_starbucks,비스타벅스,raw,dist_nearest_subway,num_restaurants_500m,-0.344607,0.344607,False
all,전체,raw,other_franchise_cafe_count_500m,num_offices,0.344232,0.344232,False
non_starbucks,비스타벅스,raw,other_franchise_cafe_count_500m,num_offices,0.344138,0.344138,False
all,전체,raw,dist_nearest_subway,num_restaurants_500m,-0.343732,0.343732,False
all,전체,transformed,subway_morning_peak_500m,num_offices,0.342719,0.342719,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,num_restaurants_500m,-0.342594,0.342594,False
starbucks,스타벅스,raw,dist_nearest_subway,subway_morning_peak_500m,-0.341687,0.341687,False
all,전체,transformed,dist_nearest_subway,num_restaurants_500m,-0.341663,0.341663,False
non_starbucks,비스타벅스,raw,low_price_cafe_count_500m,living_population,0.340512,0.340512,False
starbucks,스타벅스,transformed,independent_cafe_count_500m,living_population,0.340217,0.340217,False
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,num_offices,0.339965,0.339965,False
all,전체,raw,low_price_cafe_count_500m,living_population,0.338742,0.338742,False
starbucks,스타벅스,raw,dist_nearest_subway,subway_evening_peak_500m,-0.337573,0.337573,False
non_starbucks,비스타벅스,raw,dist_nearest_subway,num_convenience_500m,-0.336556,0.336556,False
non_starbucks,비스타벅스,transformed,num_subway_500m,dist_nearest_starbucks,-0.336487,0.336487,False
starbucks,스타벅스,raw,num_subway_500m,other_franchise_cafe_count_500m,0.336234,0.336234,False
starbucks,스타벅스,transformed,num_subway_500m,other_franchise_cafe_count_500m,0.336234,0.336234,False
all,전체,transformed,num_subway_500m,dist_nearest_starbucks,-0.335381,0.335381,False
starbucks,스타벅스,transformed,num_restaurants_500m,living_population,0.335332,0.335332,False
all,전체,raw,dist_nearest_subway,num_convenience_500m,-0.335274,0.335274,False
non_starbucks,비스타벅스,raw,other_franchise_cafe_count_500m,living_population,0.335192,0.335192,False
all,전체,transformed,subway_evening_peak_500m,num_offices,0.335003,0.335003,False
non_starbucks,비스타벅스,transformed,dist_nearest_starbucks,living_population,-0.334442,0.334442,False
all,전체,transformed,nearest_subway_ridership,dist_nearest_starbucks,-0.333588,0.333588,False
all,전체,raw,num_retail_500m,dist_nearest_starbucks,-0.33333,0.33333,False
all,전체,raw,other_franchise_cafe_count_500m,living_population,0.332954,0.332954,False
non_starbucks,비스타벅스,raw,num_retail_500m,dist_nearest_starbucks,-0.332947,0.332947,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,num_offices,0.332538,0.332538,False
non_starbucks,비스타벅스,transformed,low_price_cafe_count_500m,living_population,0.332512,0.332512,False
all,전체,transformed,dist_nearest_starbucks,living_population,-0.331855,0.331855,False
all,전체,transformed,low_price_cafe_count_500m,living_population,0.331725,0.331725,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,num_convenience_500m,-0.33144,0.33144,False
all,전체,transformed,dist_nearest_subway,num_convenience_500m,-0.330096,0.330096,False
starbucks,스타벅스,transformed,num_subway_500m,dist_nearest_starbucks,-0.329817,0.329817,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,dist_nearest_starbucks,-0.329681,0.329681,False
all,전체,raw,subway_evening_peak_500m,num_offices,0.329556,0.329556,False
starbucks,스타벅스,transformed,low_price_cafe_count_500m,land_price,0.329017,0.329017,False
non_starbucks,비스타벅스,raw,subway_evening_peak_500m,num_offices,0.328435,0.328435,False
starbucks,스타벅스,raw,dist_nearest_subway,subway_lunch_peak_500m,-0.327979,0.327979,False
starbucks,스타벅스,transformed,low_price_cafe_count_500m,num_offices,0.324474,0.324474,False
all,전체,raw,dist_nearest_starbucks,land_price,-0.324171,0.324171,False
all,전체,transformed,num_subway_500m,land_price,0.323561,0.323561,False
non_starbucks,비스타벅스,raw,dist_nearest_starbucks,land_price,-0.322929,0.322929,False
non_starbucks,비스타벅스,transformed,num_subway_500m,land_price,0.322783,0.322783,False
all,전체,transformed,low_price_cafe_count_500m,num_offices,0.322609,0.322609,False
starbucks,스타벅스,raw,num_convenience_500m,living_population,0.32188,0.32188,False
non_starbucks,비스타벅스,raw,num_subway_500m,dist_nearest_starbucks,-0.321806,0.321806,False
starbucks,스타벅스,raw,num_bus_stops_300m,num_convenience_500m,0.321261,0.321261,False
starbucks,스타벅스,transformed,num_bus_stops_300m,num_convenience_500m,0.321261,0.321261,False
non_starbucks,비스타벅스,transformed,low_price_cafe_count_500m,num_offices,0.320958,0.320958,False
all,전체,raw,num_subway_500m,dist_nearest_starbucks,-0.320699,0.320699,False
non_starbucks,비스타벅스,transformed,avg_income,living_population,0.32034,0.32034,False
all,전체,transformed,avg_income,living_population,0.320105,0.320105,False
all,전체,transformed,nearest_subway_ridership,num_offices,0.320084,0.320084,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,low_price_cafe_count_500m,-0.319947,0.319947,False
starbucks,스타벅스,transformed,num_convenience_500m,living_population,0.319368,0.319368,False
all,전체,transformed,dist_nearest_subway,low_price_cafe_count_500m,-0.319176,0.319176,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,other_franchise_cafe_count_500m,-0.319033,0.319033,False
all,전체,transformed,dist_nearest_subway,other_franchise_cafe_count_500m,-0.318075,0.318075,False
non_starbucks,비스타벅스,transformed,nearest_subway_ridership,num_offices,0.317712,0.317712,False
