feature,lower_bound,upper_bound,outlier_count,outlier_rate,outlier_direction,상호명,시군구명,도로명주소,value
num_subway_500m,1.0,1.0,233,0.3421,low,연세백양로,서대문구,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,이대ECC,서대문구,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,연대동문,서대문구,서울특별시 서대문구 성산로 565 (대신동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,명지대,서대문구,서울특별시 서대문구 거북골로 34 (남가좌동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,독산사거리,금천구,서울특별시 금천구 시흥대로 426 (독산동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,금천시흥,금천구,서울특별시 금천구 시흥대로 164 (시흥동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,중앙대,동작구,서울특별시 동작구 흑석로 75-1 (흑석동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,도봉로DT,도봉구,서울특별시 도봉구 도봉로 635 (쌍문동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,서교동사거리,마포구,서울특별시 마포구 양화로 105 (서교동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,홍대입구역사거리R,마포구,서울특별시 마포구 양화로 125 (서교동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,상암사보이시티,마포구,서울특별시 마포구 월드컵북로54길 17 (상암동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,상암디지털큐브,마포구,서울특별시 마포구 상암산로 34,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,상암DMC,마포구,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,동교,마포구,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,망원한강공원,마포구,서울특별시 마포구 마포나루길 435 (망원동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,가재울뉴타운,서대문구,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이2단지별동상가1층)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,강서구청사거리,강서구,서울특별시 강서구 화곡로 350 (화곡동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,봉천현대시장,관악구,"서울특별시 관악구 은천로 118 (봉천동), 1층 101~104호",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,신림DT,관악구,서울특별시 관악구 남부순환로 1419 (신림동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,올림픽대교북단,광진구,서울특별시 광진구 광나루로 608 (구의동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,구의DT,광진구,서울특별시 광진구 광나루로 519 (구의동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,가산퍼블릭,금천구,"서울특별시 금천구 디지털로 178 (가산동), B동 F Park 1층",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,가산현대아울렛,금천구,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,은행사거리,노원구,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,금천독산,금천구,서울특별시 금천구 두산로 70 (독산동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,청담사거리,강남구,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,청담,강남구,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,가로수길,강남구,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,포스코사거리,강남구,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,을지병원사거리,강남구,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,학동사거리,강남구,서울특별시 강남구 도산대로 328 (논현동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,대치사거리,강남구,서울특별시 강남구 삼성로 402 (대치동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,구역삼사거리,강남구,서울특별시 강남구 논현로 401 (역삼동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,압구정로,강남구,서울특별시 강남구 압구정로42길 32 (신사동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,삼성,강남구,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,대치,강남구,서울특별시 강남구 도곡로 511 (대치동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,호림아트센터,강남구,서울특별시 강남구 도산대로 317 (신사동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,포이,강남구,서울특별시 강남구 논현로 88 (개포동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,포스코,강남구,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",0.0
num_subway_500m,1.0,1.0,233,0.3421,low,역삼럭키,강남구,서울특별시 강남구 도곡로 183 (역삼동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,도산사거리,강남구,서울특별시 강남구 언주로 727 (논현동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,센터필드R,강남구,서울특별시 강남구 테헤란로 231 (역삼동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,강남자곡,강남구,서울특별시 강남구 자곡로 172 (자곡동) 107~109호,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,강남세곡,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,강남아이퀘스트,강남구,서울특별시 강남구 도곡로 121 (역삼동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,대치삼성,강남구,서울특별시 강남구 영동대로 237 (대치동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,화곡DT,강서구,서울특별시 강서구 등촌로 57 (화곡동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,강남우성,강남구,서울특별시 강남구 강남대로 328 (역삼동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,신사가로수,강남구,서울특별시 강남구 가로수길 59 ,0.0
num_subway_500m,1.0,1.0,233,0.3421,low,도곡공원,강남구,서울특별시 강남구 도곡로 205 (역삼동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,대치은마사거리,강남구,서울특별시 강남구 도곡로 457 (대치동),0.0
num_subway_500m,1.0,1.0,233,0.3421,low,역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),0.0
