feature,rank_type,rank,상호명,시군구명,도로명주소,value
num_bus_stops_300m,top,7,강남역7번출구,서초구,서울특별시 서초구 강남대로 385 (서초동),22.0
num_bus_stops_300m,top,8,상도역,동작구,서울특별시 동작구 상도로37길 1 (상도1동),22.0
num_bus_stops_300m,top,9,마포이마트,마포구,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,22.0
num_bus_stops_300m,top,10,강남서초초교,서초구,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",21.0
num_bus_stops_300m,bottom,1,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),0.0
num_bus_stops_300m,bottom,2,연세백양로,서대문구,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,0.0
num_bus_stops_300m,bottom,3,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),0.0
num_bus_stops_300m,bottom,4,뚝섬한강공원,광진구,서울특별시 광진구 강변북로 2234 (자양동),0.0
num_bus_stops_300m,bottom,5,이대ECC,서대문구,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,0.0
num_bus_stops_300m,bottom,6,목동7단지,양천구,서울특별시 양천구 목동서로 213 (목동) 세신비젼프라자,1.0
num_bus_stops_300m,bottom,7,선릉로,강남구,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",2.0
num_bus_stops_300m,bottom,8,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,2.0
num_bus_stops_300m,bottom,9,잠실본동,송파구,"서울특별시 송파구 백제고분로 91 (잠실동), 1층",2.0
num_bus_stops_300m,bottom,10,양재하나로마트,서초구,서울특별시 서초구 청계산로 10 (양재동),2.0
num_bus_stops_500m,top,1,경기대,서대문구,서울특별시 서대문구 충정로 53 (충정로2가),53.0
num_bus_stops_500m,top,2,서강광흥창역,마포구,서울특별시 마포구 서강로 69 (창전동),51.0
num_bus_stops_500m,top,3,신금호역,성동구,서울특별시 성동구 금호로 158-1 (금호동1가) 1~5층 전체,48.0
num_bus_stops_500m,top,4,강북삼성병원,종로구,서울특별시 종로구 새문안로 29 (평동) C관 5층,47.0
num_bus_stops_500m,top,5,상도대로,동작구,"서울특별시 동작구 상도로 218 (상도동), 1층",47.0
num_bus_stops_500m,top,6,홍대입구역사거리R,마포구,서울특별시 마포구 양화로 125 (서교동),47.0
num_bus_stops_500m,top,7,서대문역,종로구,서울특별시 종로구 통일로 134 (평동),46.0
num_bus_stops_500m,top,8,마포이마트,마포구,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,46.0
num_bus_stops_500m,top,9,강남역우송빌딩,서초구,서울특별시 서초구 서초대로73길 7 (서초동),46.0
num_bus_stops_500m,top,10,금호역,성동구,서울특별시 성동구 동호로 99 (금호동4가),45.0
num_bus_stops_500m,bottom,1,뚝섬한강공원,광진구,서울특별시 광진구 강변북로 2234 (자양동),1.0
num_bus_stops_500m,bottom,2,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),2.0
num_bus_stops_500m,bottom,3,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),2.0
num_bus_stops_500m,bottom,4,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),4.0
num_bus_stops_500m,bottom,5,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,4.0
num_bus_stops_500m,bottom,6,여의도한강공원,영등포구,서울특별시 영등포구 여의동로 338 (여의도동) 선착장 3층,6.0
num_bus_stops_500m,bottom,7,송파헬리오시티,송파구,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",6.0
num_bus_stops_500m,bottom,8,가로수길,강남구,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",6.0
num_bus_stops_500m,bottom,9,청계산입구역,서초구,서울특별시 서초구 청계산로 203 (신원동),7.0
num_bus_stops_500m,bottom,10,신월IC DT,양천구,서울특별시 양천구 남부순환로 430 (신월동),7.0
cafe_count_300m,top,1,홍대역8번출구,마포구,서울특별시 마포구 양화로 166 (동교동),115.0
cafe_count_300m,top,2,그랑서울,종로구,서울특별시 종로구 종로 33 (청진동),112.0
cafe_count_300m,top,3,강남역신분당역사,강남구,서울특별시 강남구 강남대로 396 (역삼동),109.0
cafe_count_300m,top,4,홍대역,마포구,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",109.0
cafe_count_300m,top,5,강남역7번출구,서초구,서울특별시 서초구 강남대로 385 (서초동),108.0
cafe_count_300m,top,6,홍대공항철도역,마포구,서울특별시 마포구 양화로 178 (동교동),108.0
cafe_count_300m,top,7,홍대삼거리,마포구,서울특별시 마포구 와우산로 64 (상수동),107.0
cafe_count_300m,top,8,명동메트로,중구,서울특별시 중구 명동9가길 14 (을지로1가) 메트로호텔,104.0
