feature,rank_type,rank,상호명,시군구명,도로명주소,value
nearest_subway_ridership,bottom,7,김포공항DT,강서구,서울특별시 강서구 개화동로 517 (방화동),5814.0
nearest_subway_ridership,bottom,8,수색,은평구,서울특별시 은평구 수색로 216 (수색동),6252.0
nearest_subway_ridership,bottom,9,상암MBC,마포구,서울특별시 마포구 성암로 267 (상암동),6252.0
nearest_subway_ridership,bottom,10,상암DMC,마포구,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",6252.0
subway_ridership_500m,top,1,무교동,중구,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,352395.0
subway_ridership_500m,top,2,숭례문,중구,"서울특별시 중구 세종대로 17, 그레이츠 숭례 1층 (남대문로5가)",297431.0
subway_ridership_500m,top,3,그랜드센트럴,중구,서울특별시 중구 세종대로 14 (남대문로5가),297431.0
subway_ridership_500m,top,4,연세세브란스,중구,서울특별시 중구 통일로 10 (남대문로5가),297431.0
subway_ridership_500m,top,5,무교로,중구,서울특별시 중구 무교로 15 (무교동),283970.0
subway_ridership_500m,top,6,한국프레스센터,중구,서울특별시 중구 세종대로 124 (태평로1가),274948.0
subway_ridership_500m,top,7,삼성동,강남구,서울특별시 강남구 영동대로96길 12 (삼성동),256304.0
subway_ridership_500m,top,8,코엑스별마당,강남구,서울특별시 강남구 영동대로 513 (삼성동),256304.0
subway_ridership_500m,top,9,스타필드코엑스몰R,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,256304.0
subway_ridership_500m,top,10,국기원사거리,강남구,서울특별시 강남구 테헤란로 125 (역삼동),254451.0
subway_ridership_500m,bottom,1,역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),0.0
subway_ridership_500m,bottom,2,이촌,용산구,서울특별시 용산구 이촌로 276 (이촌동),0.0
subway_ridership_500m,bottom,3,청담,강남구,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",0.0
subway_ridership_500m,bottom,4,대치,강남구,서울특별시 강남구 도곡로 511 (대치동),0.0
subway_ridership_500m,bottom,5,동빙고,용산구,서울특별시 용산구 장문로 12 (동빙고동),0.0
subway_ridership_500m,bottom,6,순천향입구,용산구,서울특별시 용산구 대사관로 67 (한남동),0.0
subway_ridership_500m,bottom,7,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,0.0
subway_ridership_500m,bottom,8,한남동R,용산구,서울특별시 용산구 독서당로 94 (한남동),0.0
subway_ridership_500m,bottom,9,구역삼사거리,강남구,서울특별시 강남구 논현로 401 (역삼동),0.0
subway_ridership_500m,bottom,10,압구정로,강남구,서울특별시 강남구 압구정로42길 32 (신사동),0.0
num_competing_cafes_500m,top,1,종각,종로구,서울특별시 종로구 종로 64 (종로2가),280.0
num_competing_cafes_500m,top,2,홍대공항철도역,마포구,서울특별시 마포구 양화로 178 (동교동),276.0
num_competing_cafes_500m,top,3,홍대역8번출구,마포구,서울특별시 마포구 양화로 166 (동교동),276.0
num_competing_cafes_500m,top,4,홍대동교,마포구,서울특별시 마포구 양화로 192 (동교동),275.0
num_competing_cafes_500m,top,5,홍대역,마포구,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",273.0
num_competing_cafes_500m,top,6,종로R,종로구,서울특별시 종로구 종로 51 (종로2가),264.0
num_competing_cafes_500m,top,7,을지로경기빌딩,중구,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,253.0
num_competing_cafes_500m,top,8,을지로삼화타워,중구,서울특별시 중구 을지로5길 16 (을지로2가) 1층,247.0
num_competing_cafes_500m,top,9,인사,종로구,서울특별시 종로구 인사동길 14 (인사동),244.0
num_competing_cafes_500m,top,10,그랑서울,종로구,서울특별시 종로구 종로 33 (청진동),240.0
num_competing_cafes_500m,bottom,1,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),1.0
num_competing_cafes_500m,bottom,2,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),1.0
num_competing_cafes_500m,bottom,3,김포공항국내선,강서구,서울특별시 강서구 하늘길 112 (공항동),2.0
num_competing_cafes_500m,bottom,4,김포공항국제선,강서구,서울특별시 강서구 하늘길 38 (방화동),2.0
num_competing_cafes_500m,bottom,5,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,3.0
num_competing_cafes_500m,bottom,6,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),5.0
num_competing_cafes_500m,bottom,7,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),6.0
num_competing_cafes_500m,bottom,8,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),6.0
num_competing_cafes_500m,bottom,9,개포동,강남구,서울특별시 강남구 선릉로 34 (개포동),7.0
num_competing_cafes_500m,bottom,10,양재하나로마트,서초구,서울특별시 서초구 청계산로 10 (양재동),7.0
num_restaurants_500m,top,1,인사,종로구,서울특별시 종로구 인사동길 14 (인사동),1656.0
num_restaurants_500m,top,2,종각,종로구,서울특별시 종로구 종로 64 (종로2가),1604.0
num_restaurants_500m,top,3,종로관수,종로구,서울특별시 종로구 삼일대로20길 13 (관수동),1531.0
num_restaurants_500m,top,4,종로R,종로구,서울특별시 종로구 종로 51 (종로2가),1490.0
num_restaurants_500m,top,5,을지로2가,중구,서울특별시 중구 삼일대로 358 (을지로2가),1452.0
num_restaurants_500m,top,6,포포인츠명동,중구,서울특별시 중구 삼일대로10길 36 (저동2가),1385.0
num_restaurants_500m,top,7,홍대동교,마포구,서울특별시 마포구 양화로 192 (동교동),1383.0
num_restaurants_500m,top,8,종로관철,종로구,"서울특별시 종로구 종로12길 21, 2층 (관철동)",1382.0
num_restaurants_500m,top,9,을지로삼화타워,중구,서울특별시 중구 을지로5길 16 (을지로2가) 1층,1378.0
num_restaurants_500m,top,10,홍대공항철도역,마포구,서울특별시 마포구 양화로 178 (동교동),1367.0
num_restaurants_500m,bottom,1,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),6.0
num_restaurants_500m,bottom,2,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),7.0
num_restaurants_500m,bottom,3,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),9.0
num_restaurants_500m,bottom,4,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,15.0
num_restaurants_500m,bottom,5,김포공항국제선,강서구,서울특별시 강서구 하늘길 38 (방화동),16.0
num_restaurants_500m,bottom,6,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),16.0
num_restaurants_500m,bottom,7,김포공항국내선,강서구,서울특별시 강서구 하늘길 112 (공항동),17.0
num_restaurants_500m,bottom,8,강동강일,강동구,서울특별시 강동구 아리수로93나길 54 (강일동),33.0
num_restaurants_500m,bottom,9,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),37.0
num_restaurants_500m,bottom,10,뚝섬한강공원,광진구,서울특별시 광진구 강변북로 2234 (자양동),38.0
num_retail_500m,top,1,신세계본점6F,중구,서울특별시 중구 퇴계로 77 (충무로1가),2886.0
num_retail_500m,top,2,한국은행교차로,중구,서울특별시 중구 남대문로 55 (남대문로2가),2649.0
num_retail_500m,top,3,서울중앙우체국,중구,서울특별시 중구 소공로 70 (충무로 1가) 서울 중앙 우체국,2632.0
num_retail_500m,top,4,우리은행본점B1F,중구,서울특별시 중구 소공로 51 (회현동1가),2494.0
num_retail_500m,top,5,회현역,중구,서울특별시 중구 퇴계로 72 (회현동) 리더스뷰남산,2419.0
num_retail_500m,top,6,명동역,중구,"서울특별시 중구 퇴계로 101, 건물 전체 (충무로 1가)",2378.0
num_retail_500m,top,7,태평로,중구,"서울특별시 중구 세종대로 72, 대영빌딩 1층 (태평로2가)",2274.0
num_retail_500m,top,8,숭례문북창,중구,서울특별시 중구 세종대로12길 12 (남대문로4가),2255.0
num_retail_500m,top,9,별다방,중구,서울특별시 중구 퇴계로 100 (회현동2가),2172.0
num_retail_500m,top,10,소공로,중구,"서울특별시 중구 남대문로7길 19, 삼영빌딩 1층 일부 (소공동)",1976.0
num_retail_500m,bottom,1,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),5.0
num_retail_500m,bottom,2,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),6.0
num_retail_500m,bottom,3,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),14.0
num_retail_500m,bottom,4,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,19.0
num_retail_500m,bottom,5,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),19.0
num_retail_500m,bottom,6,여의도한강공원,영등포구,서울특별시 영등포구 여의동로 338 (여의도동) 선착장 3층,25.0
num_retail_500m,bottom,7,뚝섬한강공원,광진구,서울특별시 광진구 강변북로 2234 (자양동),26.0
num_retail_500m,bottom,8,서울안토,강북구,서울특별시 강북구 삼양로 689 (우이동) 지하1층,29.0
num_retail_500m,bottom,9,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),32.0
num_retail_500m,bottom,10,서초우면,서초구,서울특별시 서초구 태봉로 62 (우면동),37.0
num_convenience_500m,top,1,을지로경기빌딩,중구,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,85.0
num_convenience_500m,top,2,을지로삼화타워,중구,서울특별시 중구 을지로5길 16 (을지로2가) 1층,79.0
num_convenience_500m,top,3,종각,종로구,서울특별시 종로구 종로 64 (종로2가),76.0
num_convenience_500m,top,4,종로관철,종로구,"서울특별시 종로구 종로12길 21, 2층 (관철동)",76.0
num_convenience_500m,top,5,을지로2가,중구,서울특별시 중구 삼일대로 358 (을지로2가),72.0
num_convenience_500m,top,6,을지로한국빌딩,중구,"서울특별시 중구 을지로 50, 1층 (을지로 2가)",71.0
num_convenience_500m,top,7,포포인츠명동,중구,서울특별시 중구 삼일대로10길 36 (저동2가),70.0
num_convenience_500m,top,8,청계크리스탈스퀘어,중구,서울특별시 중구 청계천로 106 (수표동),70.0
num_convenience_500m,top,9,종로관수,종로구,서울특별시 종로구 삼일대로20길 13 (관수동),70.0
num_convenience_500m,top,10,을지로국제빌딩,중구,서울특별시 중구 남대문로 109 (다동),70.0
num_convenience_500m,bottom,1,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),1.0
num_convenience_500m,bottom,2,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),1.0
num_convenience_500m,bottom,3,양재하나로마트,서초구,서울특별시 서초구 청계산로 10 (양재동),1.0
