dataset,label,feature,group,count,missing_count,missing_rate,mean,median,std,min,p01,p05,q1,q3,p95,p99,max,zero_count,zero_rate,skewness,iqr,iqr_lower_bound,iqr_upper_bound,iqr_outlier_count,iqr_outlier_rate
starbucks,스타벅스,num_retail_500m,commerce,681,0,0.0,431.89721,324.0,391.667372,5.0,28.4,86.0,192.0,518.0,1182.0,2258.8,2886.0,0,0.0,2.712894,326.0,-297.0,1007.0,52,0.076358
starbucks,스타벅스,num_convenience_500m,commerce,681,0,0.0,30.0837,27.0,15.564299,1.0,3.8,8.0,19.0,40.0,59.0,70.0,85.0,0,0.0,0.617344,21.0,-12.5,71.5,5,0.007342
starbucks,스타벅스,independent_cafe_count_500m,cafe_competition,681,0,0.0,75.142438,64.0,49.547974,1.0,5.8,14.0,39.0,103.0,171.0,218.4,263.0,0,0.0,1.008811,64.0,-57.0,199.0,15,0.022026
starbucks,스타벅스,low_price_cafe_count_500m,cafe_competition,681,0,0.0,4.193833,4.0,2.508929,0.0,0.0,1.0,3.0,5.0,9.0,11.0,13.0,30,0.044053,0.763934,2.0,0.0,8.0,46,0.067548
starbucks,스타벅스,other_franchise_cafe_count_500m,cafe_competition,681,0,0.0,7.207048,6.0,5.098703,0.0,0.0,1.0,3.0,10.0,17.0,21.0,27.0,28,0.041116,0.925439,7.0,-7.5,20.5,9,0.013216
starbucks,스타벅스,dist_nearest_starbucks,cafe_competition,681,0,0.0,0.340141,0.243029,0.294381,0.009603,0.039776,0.074415,0.15324,0.438721,0.944647,1.379179,2.638043,0,0.0,2.456194,0.285481,-0.274982,0.866943,44,0.064611
starbucks,스타벅스,avg_income,demographic_economic,681,0,0.0,3925405.973568,3607265.0,1087684.899467,1447127.0,2333287.6,2535013.0,3129216.0,4787212.0,5808537.0,6493807.2,7421305.0,0,0.0,0.657224,1657996.0,642222.0,7274206.0,4,0.005874
starbucks,스타벅스,num_offices,demographic_economic,681,0,0.0,44356.311307,14874.0,62896.189113,29.0,100.0,785.0,2961.0,58448.0,202016.0,250897.0,250897.0,0,0.0,1.894875,55487.0,-80269.5,141678.5,56,0.082232
starbucks,스타벅스,living_population,demographic_economic,681,0,0.0,38870.660793,35571.0,21022.429611,5870.0,8010.0,14356.0,24282.0,46370.0,95986.0,98668.0,98668.0,0,0.0,1.340151,22088.0,-8850.0,79502.0,47,0.069016
starbucks,스타벅스,land_price,demographic_economic,681,0,0.0,8639839.735683,6399509.0,6336621.55539,1098262.0,1811251.0,2673298.0,3864306.0,13166568.0,18576443.0,28291188.2,59244720.0,0,0.0,1.931309,9302262.0,-10089087.0,27119961.0,11,0.016153
non_starbucks,비스타벅스,dist_nearest_subway,transport,21624,0,0.0,0.433949,0.36675,0.311455,0.0017,0.0417,0.092,0.226,0.5523,1.02927,1.531877,3.2369,0,0.0,2.205286,0.3263,-0.26345,1.04175,1041,0.048141
