rank,district,dominant_sigungu,n_cafe,n_starbucks,score,score_pct,dominant_persona_name,sb_core_share,weak_access_share,share_C0,share_C1,share_C2,share_C3,share_C4
1,8,마포구,6175,185,0.9953666666666664,100.0,C1 상업활성,0.5489878542510122,0.1836437246963563,0.0,0.38008097165991905,0.2673684210526316,0.16890688259109313,0.1836437246963563
2,14,관악구,896,20,0.994672222222222,99.41176470588236,C2 주거생활,0.25558035714285715,0.18303571428571427,0.0,0.25558035714285715,0.5613839285714286,0.0,0.18303571428571427
3,30,동작구,81,2,0.9932682539682536,98.82352941176472,C2 주거생활,0.24691358024691357,0.16049382716049382,0.0,0.24691358024691357,0.5925925925925926,0.0,0.16049382716049382
4,62,강동구,542,12,0.9925357142857144,98.23529411764706,C2 주거생활,0.2564575645756458,0.22324723247232472,0.0,0.2564575645756458,0.5202952029520295,0.0,0.22324723247232472
5,54,영등포구,646,19,0.9886666666666666,97.6470588235294,C2 주거생활,0.35294117647058826,0.1873065015479876,0.0,0.35294117647058826,0.45975232198142413,0.0,0.1873065015479876
6,17,광진구,1161,28,0.9868666666666666,97.05882352941175,C1 상업활성,0.3970714900947459,0.2868217054263566,0.0,0.3970714900947459,0.3161068044788975,0.0,0.2868217054263566
7,11,강서구,850,26,0.9849730158730158,96.47058823529412,C2 주거생활,0.2752941176470588,0.28705882352941176,0.0,0.2752941176470588,0.4376470588235294,0.0,0.28705882352941176
8,16,서초구,424,16,0.9796166666666668,95.88235294117648,C2 주거생활,0.3608490566037736,0.20754716981132076,0.0,0.3608490566037736,0.43160377358490565,0.0,0.20754716981132076
9,23,노원구,202,6,0.9676333333333332,95.2941176470588,C1 상업활성,0.42574257425742573,0.2722772277227723,0.0,0.42574257425742573,0.30198019801980197,0.0,0.2722772277227723
10,52,양천구,125,2,0.956481746031746,94.70588235294116,C2 주거생활,0.0,0.192,0.0,0.0,0.808,0.0,0.192
11,24,중랑구,455,9,0.9550242063492064,94.11764705882352,C2 주거생활,0.1010989010989011,0.26593406593406593,0.0,0.1010989010989011,0.6329670329670329,0.0,0.26593406593406593
12,46,송파구,1190,37,0.954933597883598,93.52941176470588,C2 주거생활,0.3302521008403361,0.17142857142857143,0.0,0.3302521008403361,0.49831932773109244,0.0,0.17142857142857143
13,15,금천구,1111,26,0.9538579365079364,92.94117647058825,C4 비역세권,0.33753375337533753,0.42484248424842486,0.0,0.3159315931593159,0.2376237623762376,0.021602160216021602,0.42484248424842486
14,33,은평구,649,15,0.9503342592592592,92.3529411764706,C2 주거생활,0.15562403697996918,0.3852080123266564,0.0,0.15562403697996918,0.4591679506933744,0.0,0.3852080123266564
15,9,강북구,43,1,0.9434186507936512,91.76470588235294,C2 주거생활,0.0,0.18604651162790697,0.0,0.0,0.813953488372093,0.0,0.18604651162790697
16,7,강북구,308,4,0.9293111111111112,91.17647058823528,C2 주거생활,0.31493506493506496,0.30844155844155846,0.0,0.31493506493506496,0.37662337662337664,0.0,0.30844155844155846
17,77,성동구,160,6,0.9289444444444448,90.58823529411764,C2 주거생활,0.39375,0.025,0.0,0.39375,0.58125,0.0,0.025
18,146,강남구,6,0,0.9218925925925928,90.0,C4 비역세권,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
19,29,도봉구,66,2,0.9218396825396824,89.41176470588236,C2 주거생활,0.0,0.15151515151515152,0.0,0.0,0.8484848484848485,0.0,0.15151515151515152
20,51,양천구,138,8,0.921407142857143,88.8235294117647,C4 비역세권,0.34782608695652173,0.463768115942029,0.0,0.34782608695652173,0.18840579710144928,0.0,0.463768115942029
