rank,model_id,family,params,pu_auc,fold_auc_mean,fold_auc_std,n_bags,precision_at_5,lift_at_5,gains_at_5,precision_at_10,lift_at_10,gains_at_10,precision_at_20,lift_at_20,gains_at_20
1,LOGIT_C0.3,LogisticRegression,"{""C"": 0.3}",0.8023819415593407,0.805425312308849,0.05887151721762998,15,0.7777777777777778,1.5197956577266925,0.08045977011494253,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
2,LOGIT_C1,LogisticRegression,"{""C"": 1.0}",0.8023819415593407,0.801149150582314,0.06933910434911825,15,0.7777777777777778,1.5197956577266925,0.08045977011494253,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
3,LOGIT_C3,LogisticRegression,"{""C"": 3.0}",0.8012740617642986,0.8020124977614506,0.06889071759006314,15,0.7777777777777778,1.5197956577266925,0.08045977011494253,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
4,RF_leaf2_mf0.7,RandomForest,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 160}",0.7976734524304112,0.8091991534285743,0.05583272006943139,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
5,RF_leaf5_mf0.7,RandomForest,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.797534967456031,0.8076143726667311,0.058972146154652,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9411764705882353,1.8390804597701151,0.367816091954023
6,RF_leaf5_mfsqrt,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.7954576928403267,0.8048472052694873,0.045943384928661395,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
7,RF_leaf1_mf0.7,RandomForest,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.7934496607118128,0.8063587854404645,0.061818289901782474,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
8,RF_leaf2_mfsqrt,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 160}",0.7899182938651157,0.8049313688901197,0.052136819449365886,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
9,RF_current_leaf2,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.7899182938651156,0.805623410412611,0.051058962367214605,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
10,RF_leaf1_mfsqrt,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.789156626506024,0.8133648547318643,0.04142030715165244,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
